166;yeL;33;Logitech G403 Wireless;800;1.05;1440x1080
167;kNg;33;Zowie ZA12;400;2.5;1280x1024
168;horvy;33;Zowie ZA12;400;2.2;undefined
169;chelo;33;Zowie EC2-A;400;2.2;1024x768
170;xand;33;Zowie FK1;400;3;1280x1024
171;jR;34;Zowie EC1-A;800;1;1024x768
172;keshandr;34;Zowie EC2-A;1,6;0.54;1280x1024
173;hutji;34;Zowie ZA12;800;1.1;1280x960
174;tonyblack;34;Zowie ZA13;400;2;1280x960
175;crush;34;Zowie EC2-B Divina Edition;400;1.57;1280x960
176;HEN1;35;Zowie EC2-A;400;3.2;1152x864
177;LUCAS1;35;Zowie ZA12;400;2;1024x768
178;steel;35;Zowie EC2-A;800;1.6;1280x1024
179;boltz;35;Zowie ZA12;400;3;1280x960
180;NEKIZ;35;Zowie EC2-A;400;2.6;1024x768
181;Maikelele;36;Zowie EC2-A;400;2.4;1280x800
182;kRYSTAL;36;Logitech G403;800;1.35;1920x1080
183;nukkye;36;Zowie ZA12 White Edition;400;1.75;1024x768
184;xeta;37;Zowie EC2-A;400;1.6;1024x768
185;freddieb;38;SteelSeries Rival 310;400;2.3;1280x960
186;Baaten;38;Logitech G Pro Wireless;400;1.7;1024x768
187;bubble;39;SteelSeries Sensei Raw;400;1.75;1920x1080
188;v1c7oR;39;QPAD 5K;450;1.7;1280x960
189;swag / brax;40;Logitech MX518 Legendary;400;1.5;1920x1080
190;B1ad3;41;Zowie FK1;400;2.3;1280x720
191;bondik;41;Razer DeathAdder 2013;1,8;2.5;1024x768
192;Dosia;41;Zowie EC2-B Divina Edition;400;2.5;1024x768
193;mou;41;Zowie ZA13 White Edition;400;3;1024x768
194;mir;41;Zowie EC2-A;400;1.55;1280x960
195;dimasick;41;Zowie FK2;400;2.2;1280x960
196;Ax1Le;41;Zowie EC2-A;800;1.5;1280x960
197;SZPERO;42;Zowie EC2-B;400;2;1280x1024
198;Furlan;42;Zowie EC1-A;800;1.2;1440x1080
199;phr;42;Zowie S2 Divina Edition;400;1.8;1680x1050
200;Gruby;42;Logitech G403 Wireless;400;1.7;1280x960
201;Kap3r;42;Zowie EC2-B;0;0;undefined
202;loWel;43;Zowie FK2;400;1.8;1280x800
203;mixwell;43;Razer DeathAdder Elite;400;2.2;1024x768
204;MarkE;44;Zowie EC2-B Divina Edition;800;0.98;1024x768
205;Cooper;44;Zowie EC1-A;800;1.2;1280x960
206;vanity;44;Logitech G Pro Wireless;400;1.7;1280x960
207;jdm64;45;Logitech G Pro Wireless;1,6;0.69;1024x768
208;Nifty;45;Logitech G403 Wireless;400;2.2;1280x960
209;reltuC;45;Razer DeathAdder 2013;400;2;1280x960
210;Drone;45;Logitech G703;800;0.9;1280x960
211;TaZ;46;Zowie EC2-B Divina Edition;400;1.7;1024x768
212;mouz;46;Zowie EC2-A;400;1.7;1280x960
213;rallen;46;SteelSeries Rival 300;1,8;1.2;1440x1080
